	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00554	0.2779655	0.2812945	0.744335	0.3606735	0.3451695	0.05	0.8109135	0.2318365	0.3011795	0.2903045	0.5235405	0.219766	0.23338	0.1165665	0.2335675	0.100995	0.215456	0.5328585	0.0643895	0.3385455	0.05	0.276475	0.3573175	0.0886795	1	0.0773355	0.143687	0.3567645	0.108821	0.0817815	0.0736205	0.2513675	0.107935	0.141802	0.2192815	0.4896165	0.2374855	0.4896165	0.4061125	0.0966485	0.0672935	0.116486	0.2422525	0.158945	0.40303	0.291592	0.3301745	0.2026415	0.1108485	0.262132	0.1754885	0.455275	0.5457425	0.0128205
D00565	0.0629085	0.0668845	0.081308	0.0391575	0.071718	0.0511415	0.081488	0.08101	0.0544645	0.0408165	0.0256395	0.0602805	0.0618885	0.1080075	0.0761495	0.5250245	0.0606005	0.0940755	0.154915	0.0588495	0.0510765	0.055665	0.043616	0.1466685	0.0773355	1	0.2770865	0.161938	0.217374	0.202505	0.165616	0.16679	0.2469	0.2660365	0.07963	0.0254085	0.109214	0.0254085	0.129471	0.2778125	0.246516	0.167379	0.07069	0.3354955	0.0811205	0.0657245	0.0703785	0.0883415	0.207366	0.095555	0.248744	0.0106385	0.12439	0.011905
D00577	0.0333335	0.02439	0.1338405	0.0394735	0.047619	0.0554115	0.15424	0.0434785	0.0375	0.0454545	0.025	0.0326085	0.0333335	0.067173	0.054348	0.1976765	0.0326085	0.089423	0.1046235	0.05	0.0523515	0.0212765	0.0384615	0.1404765	0.143687	0.2770865	1	0.134956	0.12604	0.2062365	0.1685245	0.0731295	0.226295	0.580146	0.0434785	0.0375	0.021739	0.0375	0.0907855	0.2222205	0.221058	0.1199	0.0208335	0.24715	0.1068635	0.02439	0.021739	0.028302	0.166828	0.0416665	0.2385115	0.04454	0.106691	0.042857
D00585	0.307873	0.408244	0.3259075	0.424766	0.4399695	0.1029115	0.3058675	0.2407795	0.325375	0.242393	0.45313	0.2605635	0.2785465	0.140069	0.300328	0.1538445	0.258578	0.2851665	0.0849325	0.448692	0.1027465	0.324907	0.33075	0.130456	0.3567645	0.161938	0.134956	1	0.1171805	0.118419	0.0991755	0.3308415	0.1314085	0.122506	0.2240685	0.445688	0.3149805	0.445688	0.40812	0.1140385	0.117776	0.14	0.3243505	0.153655	0.220644	0.337275	0.3202245	0.2815015	0.1382675	0.330476	0.1534795	0.354098	0.2714685	0.010204
D00586	0.052611	0.0614015	0.11555	0.039301	0.0621905	0.036606	0.115785	0.0431335	0.0652915	0.022222	0.024265	0.0438585	0.050946	0.0477265	0.0615935	0.176725	0.0442035	0.137426	0.090623	0.048995	0.036466	0.0510745	0.038976	0.115735	0.108821	0.217374	0.12604	0.1171805	1	0.0929975	0.0859425	0.12551	0.158281	0.12476	0.0479135	0.02396	0.0656665	0.02396	0.076198	0.3389675	0.1219815	0.5741765	0.0265965	0.165836	0.14035	0.0609665	0.039267	0.054675	0.17086	0.046875	0.129835	0.012195	0.1381095	0.013889
D00596	0.0350875	0.0500915	0.1172525	0.047665	0.0565015	0.09479	0.085667	0.0573465	0.0260085	0.0708505	0.0462355	0.042418	0.0594955	0.098012	0.061339	0.163005	0.042653	0.1298065	0.1119765	0.044611	0.09065	0.042563	0.026713	0.2370705	0.0817815	0.202505	0.2062365	0.118419	0.0929975	1	0.2088365	0.103996	0.183391	0.1885965	0.0369285	0.0454815	0.0418225	0.0454815	0.1209345	0.18549	0.2864995	0.160351	0.0465185	0.17589	0.079741	0.0495715	0.023684	0.0459025	0.1628475	0.0538165	0.1866045	0.0185185	0.1109455	0.1078455
D00627	0.0403225	0.0254235	0.076644	0.0172415	0.0241935	0.0742805	0.077439	0.0390625	0.0254235	0.0827235	0.0083335	0.023077	0.0403225	0.059622	0.046875	0.127241	0.023077	0.078919	0.118452	0.025	0.0740255	0.023077	0.025862	0.0912035	0.0736205	0.165616	0.1685245	0.0991755	0.0859425	0.2088365	1	0.065461	0.1201275	0.1527895	0.0227275	0.0166665	0.0271025	0.0166665	0.0819415	0.143887	0.206112	0.0805	0.0227275	0.1530045	0.0740005	0.0254235	0.0289325	0.028169	0.2593555	0.037879	0.213598	0.0166665	0.094061	0.10409
D00690	0.25648	0.351221	0.254402	0.333902	0.4210925	0.08347	0.227365	0.1760625	0.303216	0.254235	0.2994775	0.1939735	0.206092	0.1672945	0.5815595	0.135598	0.1932345	0.216365	0.07523	0.463225	0.083335	0.3149965	0.2505235	0.126498	0.2513675	0.16679	0.0731295	0.3308415	0.12551	0.103996	0.065461	1	0.144856	0.0686295	0.1725875	0.2961945	0.365773	0.2961945	0.3521065	0.118583	0.0979965	0.130965	0.3744565	0.14521	0.178783	0.312586	0.3218	0.537288	0.1102225	0.537454	0.1184635	0.2492315	0.276151	0.019608
D00730	0.0384615	0.026234	0.115618	0.032886	0.036416	0.0233755	0.116073	0.0433405	0.031434	0.0384615	0.0301605	0.011905	0.0384615	0.0551995	0.0521445	0.386365	0.011905	0.110909	0.1581455	0.0288985	0.0232155	0.01937	0.0331555	0.2417935	0.107935	0.2469	0.226295	0.1314085	0.158281	0.183391	0.1201275	0.144856	1	0.1613745	0.011628	0.0444465	0.0675565	0.0444465	0.1629615	0.1812505	0.1411995	0.168965	0.07143	0.291464	0.0993465	0.025384	0.0675565	0.0674605	0.0925385	0.102395	0.174836	0.0361465	0.162658	0.0745335
D00898	0.0333335	0.02439	0.1317005	0.0394735	0.047619	0.0622715	0.15188	0.0617735	0.0375	0.0454545	0.025	0.0488685	0.0528135	0.066738	0.042553	0.170637	0.0494885	0.088688	0.11652	0.05	0.0592965	0.0212765	0.0384615	0.110664	0.141802	0.2660365	0.580146	0.122506	0.12476	0.1885965	0.1527895	0.0686295	0.1613745	1	0.0589835	0.02439	0.021739	0.02439	0.076952	0.195497	0.220133	0.1137	0.0208335	0.204038	0.0946265	0.02439	0.021739	0.028302	0.152418	0.030612	0.211327	0.03097	0.0918785	0.0135135
D00930	0.374125	0.261092	0.209145	0.2609825	0.2811915	0.1992765	0.2250705	0.680863	0.3202385	0.36118	0.242035	0.612712	0.519134	0.1693465	0.215396	0.085594	0.616657	0.167266	0.1138595	0.2637	0.2028965	0.2128995	0.2663105	0.022222	0.2192815	0.07963	0.0434785	0.2240685	0.0479135	0.0369285	0.0227275	0.1725875	0.011628	0.0589835	1	0.2376215	0.235856	0.2376215	0.206875	0.0267855	0.029412	0.030612	0.207868	0.07174	0.184475	0.236295	0.207681	0.2099255	0.053846	0.21146	0.0508475	0.2421815	0.174586	0.0106385
D00950	0.3720685	0.5338885	0.4155915	0.664359	0.5750675	0.07455	0.364145	0.2562315	0.4395955	0.3367475	0.93598	0.2839	0.305781	0.1284745	0.346265	0.049087	0.27161	0.3291115	0.0337765	0.5497235	0.074405	0.485487	0.4374415	0.0891035	0.4896165	0.0254085	0.0375	0.445688	0.02396	0.0454815	0.0166665	0.2961945	0.0444465	0.02439	0.2376215	1	0.38996	1	0.554911	0.038762	0.0428985	0.0464695	0.4016485	0.0771245	0.2449175	0.4998705	0.502755	0.3244645	0.0494565	0.37588	0.0741775	0.7486855	0.3109315	0.025641
D00951	0.381137	0.5031	0.2308985	0.4167525	0.4229075	0.119048	0.218324	0.235771	0.4447775	0.334992	0.398436	0.2545565	0.2576465	0.2001285	0.369037	0.1047675	0.2590415	0.2080125	0.086373	0.375017	0.118768	0.4060455	0.3315395	0.0581705	0.2374855	0.109214	0.021739	0.3149805	0.0656665	0.0418225	0.0271025	0.365773	0.0675565	0.021739	0.235856	0.38996	1	0.38996	0.3535295	0.046393	0.039706	0.0573685	0.3880545	0.111249	0.182161	0.4967905	0.449858	0.3565925	0.0812805	0.382775	0.0630465	0.293594	0.2420025	0.020041
D00954	0.3720685	0.5338885	0.4155915	0.664359	0.5750675	0.07455	0.364145	0.2562315	0.4395955	0.3367475	0.93598	0.2839	0.305781	0.1284745	0.346265	0.049087	0.27161	0.3291115	0.0337765	0.5497235	0.074405	0.485487	0.4374415	0.0891035	0.4896165	0.0254085	0.0375	0.445688	0.02396	0.0454815	0.0166665	0.2961945	0.0444465	0.02439	0.2376215	1	0.38996	1	0.554911	0.038762	0.0428985	0.0464695	0.4016485	0.0771245	0.2449175	0.4998705	0.502755	0.3244645	0.0494565	0.37588	0.0741775	0.7486855	0.3109315	0.025641
D00956	0.345902	0.472293	0.466714	0.5795575	0.4442135	0.0648215	0.479764	0.251139	0.3564585	0.3131485	0.584741	0.2496245	0.292426	0.1298615	0.2991385	0.1583865	0.2376695	0.390383	0.07423	0.3787825	0.0646865	0.3897065	0.300705	0.172266	0.4061125	0.129471	0.0907855	0.40812	0.076198	0.1209345	0.0819415	0.3521065	0.1629615	0.076952	0.206875	0.554911	0.3535295	0.554911	1	0.0823625	0.095485	0.108639	0.3858345	0.161325	0.3152195	0.424871	0.3901295	0.3020295	0.107299	0.3614255	0.115634	0.419242	0.445462	0.0333335
D00961	0.027778	0.039447	0.0871235	0.0297635	0.0523355	0.01595	0.101481	0.0363635	0.0503865	0.038888	0.0394	0.017857	0.027778	0.05612	0.0612795	0.159615	0.017857	0.1290065	0.0705995	0.03798	0.01588	0.0350875	0.029553	0.128005	0.0966485	0.2778125	0.2222205	0.1140385	0.3389675	0.18549	0.143887	0.118583	0.1812505	0.195497	0.0267855	0.038762	0.046393	0.038762	0.0823625	1	0.184927	0.248245	0.0160455	0.2099065	0.1751435	0.039042	0.025997	0.0482465	0.2560415	0.0471075	0.2220215	0.030612	0.1336865	0.041832
D00962	0.0487715	0.032728	0.0597115	0.04537	0.058185	0.067644	0.0699765	0.0454545	0.0403235	0.0794905	0.034834	0.026564	0.0479865	0.063309	0.065216	0.1589265	0.026689	0.0757585	0.0899215	0.048923	0.067464	0.027563	0.041445	0.1117665	0.0672935	0.246516	0.221058	0.117776	0.1219815	0.2864995	0.216481	0.0979965	0.1411995	0.220133	0.029412	0.0428985	0.039706	0.0428985	0.095485	0.184927	1	0.1139835	0.0315805	0.158061	0.109672	0.032003	0.032681	0.0411315	0.199297	0.052897	0.2125425	0.0290485	0.127275	0.12193
D00965	0.0263285	0.0628355	0.167615	0.063047	0.0523995	0.0546555	0.123462	0.030612	0.040696	0.0262685	0.060755	0.020408	0.0208335	0.1036375	0.0558165	0.150218	0.020408	0.187433	0.0837735	0.0769305	0.0544405	0.051233	0.0421045	0.288484	0.116486	0.167379	0.1199	0.14	0.5741765	0.160351	0.0805	0.130965	0.168965	0.1137	0.030612	0.0464695	0.0573685	0.0464695	0.108639	0.248245	0.1139835	1	0.0499165	0.156619	0.142984	0.0621905	0.0364585	0.060445	0.1052585	0.0605455	0.115545	0.0113635	0.153866	0.0128205
D01115	0.3049085	0.447936	0.25066	0.4264465	0.412677	0.086838	0.232421	0.224543	0.3560535	0.3353685	0.4079475	0.2455145	0.2469095	0.1544965	0.359573	0.0876405	0.2424545	0.216486	0.0662595	0.4572785	0.086738	0.696332	0.352017	0.0570365	0.2422525	0.07069	0.0208335	0.3243505	0.0265965	0.0465185	0.0227275	0.3744565	0.07143	0.0208335	0.207868	0.4016485	0.3880545	0.4016485	0.3858345	0.0160455	0.0315805	0.0499165	1	0.1083615	0.1767455	0.434891	0.379242	0.4194965	0.059451	0.415025	0.042787	0.323025	0.2476595	0.0188335
D01132	0.0650685	0.0675295	0.14302	0.0748655	0.062378	0.0801155	0.14378	0.084885	0.0716545	0.0584135	0.078509	0.0621305	0.0638485	0.1033585	0.06749	0.3274615	0.0625155	0.135681	0.19041	0.069013	0.0800205	0.0630705	0.073809	0.1479585	0.158945	0.3354955	0.24715	0.153655	0.165836	0.17589	0.1530045	0.14521	0.291464	0.204038	0.07174	0.0771245	0.111249	0.0771245	0.161325	0.2099065	0.158061	0.156619	0.1083615	1	0.1141105	0.0670295	0.1266625	0.0803715	0.2053275	0.11597	0.215599	0.0641645	0.177837	0.03689
D01161	0.254619	0.2260785	0.402772	0.282605	0.242751	0.0401485	0.4585555	0.2341735	0.2384395	0.268509	0.258889	0.1763335	0.2181265	0.098867	0.167525	0.087645	0.1785455	0.34837	0.0594905	0.203267	0.0400885	0.2071405	0.214564	0.063235	0.40303	0.0811205	0.1068635	0.220644	0.14035	0.079741	0.0740005	0.178783	0.0993465	0.0946265	0.184475	0.2449175	0.182161	0.2449175	0.3152195	0.1751435	0.109672	0.142984	0.1767455	0.1141105	1	0.2276135	0.172966	0.1640385	0.1102595	0.1739845	0.165581	0.2201475	0.4081365	0.1538045
