	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00182	0,3027105	0,5165815	0,360143	0,587175	0,487015	0,0699775	0,329945	0,20503	0,352805	0,3018105	1	0,215396	0,2278945	0,1063165	0,281492	0,0203585	0,208176	0,2390235	0,0117885	0,4859385	0,0699475	0,4069	0,3703185	0,063563	0,5166205	0,0168495	0,025	0,352205	0,01383	0,0406605	0,0083335	0,2374675	0,0163855	0,025	0,189435	0,93748	0,322316	0,93748	0,499981	0,03258	0,023089	0,051165	0,3580775	0,078319	0,157254	0,38774	0,4577265	0,243116	0,043393	0,2878975	0,051727	0,6400185	0,228026	0,0128205
D00187	0,4191055	0,2611305	0,16202	0,2665105	0,2149	0,2198875	0,174492	0,6132445	0,299822	0,273177	0,215396	1	0,79697	0,1504015	0,1642	0,0411095	0,750148	0,11667	0,171721	0,241847	0,2323225	0,167475	0,2140725	0,0249325	0,152251	0,0662805	0,0326085	0,2033735	0,0449585	0,052968	0,023077	0,1371135	0,011905	0,0570485	0,626467	0,211725	0,2123965	0,211725	0,1689595	0,017857	0,023549	0,020408	0,1769795	0,0630705	0,1084185	0,2082465	0,1852025	0,171795	0,0546875	0,170854	0,043743	0,2221965	0,1208115	0,0108695
D00188	0,5283145	0,273594	0,169304	0,2826605	0,2437715	0,193525	0,1816335	0,74932	0,3151665	0,323052	0,2278945	0,79697	1	0,160283	0,1979705	0,0428705	0,5559965	0,1208675	0,099758	0,2533655	0,207955	0,1870375	0,2226405	0,025826	0,15882	0,0698735	0,0333335	0,2246165	0,055866	0,0599655	0,0403225	0,153642	0,0384615	0,0597935	0,512519	0,224096	0,2357615	0,224096	0,205971	0,027778	0,0483415	0,0208335	0,1820545	0,0661285	0,1470115	0,2163425	0,191323	0,191131	0,064516	0,192233	0,064095	0,2382875	0,1517885	0,047619
D00211	0,1640115	0,145853	0,1211525	0,11261	0,166107	0,139825	0,1120875	0,160399	0,138903	0,1528605	0,1063165	0,1504015	0,160283	1	0,141123	0,1058465	0,1627095	0,0834675	0,1582165	0,143014	0,13556	0,1178745	0,0893675	0,0941195	0,1139065	0,1278425	0,078763	0,133874	0,0401515	0,107727	0,070212	0,1500295	0,0535795	0,074263	0,1706415	0,1050545	0,22829	0,1050545	0,1093265	0,05208	0,061999	0,100835	0,1431815	0,0975385	0,085132	0,138276	0,1791455	0,1740185	0,126225	0,14674	0,1424865	0,09217	0,0908775	0,006579
D00246	0,2687765	0,3811995	0,179265	0,305962	0,4600905	0,089032	0,16455	0,201111	0,2871625	0,3026505	0,281492	0,1642	0,1979705	0,141123	1	0,0513215	0,169583	0,1296755	0,038546	0,398498	0,088962	0,2742345	0,23666	0,0499695	0,1836725	0,0711245	0,054348	0,217468	0,0593235	0,052739	0,046875	0,4740895	0,0469495	0,042553	0,194131	0,2769	0,308107	0,2769	0,2120835	0,0606895	0,059096	0,0512665	0,320828	0,06097	0,12426	0,2975015	0,2450205	0,484178	0,0811525	0,481355	0,0921675	0,214902	0,154473	0,0815245
D00279	0,0442405	0,0516115	0,103515	0,0363415	0,0756815	0,047332	0,103555	0,124099	0,0434165	0,0365855	0,0203585	0,0411095	0,0428705	0,1058465	0,0513215	1	0,0407695	0,105051	0,2081195	0,0609605	0,047307	0,0402645	0,044527	0,1432105	0,09701	0,6375295	0,1979315	0,1286245	0,1399	0,147105	0,120191	0,123108	0,33684	0,169212	0,139494	0,033862	0,0886525	0,033862	0,1451815	0,144355	0,1448215	0,122023	0,0904105	0,3077765	0,073775	0,0473865	0,0738825	0,081148	0,1020865	0,14707	0,1243985	0,027027	0,1601	0,03125
D00299	0,34465	0,217625	0,154815	0,2570355	0,222807	0,2062725	0,173922	0,4509505	0,2816525	0,274422	0,208176	0,750148	0,5559965	0,1627095	0,169583	0,0407695	1	0,113115	0,180346	0,236532	0,2179775	0,1791845	0,2172425	0,0227275	0,151491	0,0653205	0,0326085	0,204508	0,0442235	0,051798	0,023077	0,1423795	0,011905	0,0555085	0,610747	0,204535	0,2055465	0,204535	0,1640645	0,017857	0,023459	0,020408	0,1747745	0,0623105	0,1107855	0,2057115	0,1928455	0,16526	0,0546875	0,162809	0,042373	0,2127515	0,1204965	0,0108695
D00312	0,141319	0,2218315	0,5866295	0,2321305	0,169015	0,0534615	0,4997565	0,112271	0,157469	0,174624	0,2390235	0,11667	0,1208675	0,0834675	0,1296755	0,105051	0,113115	1	0,0712015	0,175892	0,0534265	0,160887	0,175918	0,127135	0,4628735	0,0889505	0,095918	0,1995015	0,156651	0,1259615	0,076219	0,147775	0,100164	0,092933	0,108676	0,2343415	0,1532275	0,2343415	0,279803	0,1310415	0,0749635	0,203918	0,143056	0,125521	0,24185	0,1721335	0,1669875	0,115334	0,1636655	0,14235	0,136045	0,1601195	0,3334795	0,02794
D00316	0,0625	0,0346085	0,0697405	0,023527	0,031732	0,2398745	0,0698455	0,0922085	0,0336185	0,04	0,0117885	0,171721	0,099758	0,1582165	0,038546	0,2081195	0,180346	0,0712015	1	0,03282	0,2410895	0,029836	0,0342985	0,052212	0,0662745	0,142575	0,1100485	0,0803175	0,077443	0,1222865	0,149617	0,06929	0,1384555	0,136485	0,1251245	0,0224265	0,075033	0,0224265	0,06653	0,0617445	0,0797415	0,0718835	0,0643695	0,18414	0,0532305	0,0337585	0,0516905	0,0543065	0,0969315	0,0942275	0,081445	0,0212765	0,1091715	0,0238095
D00327	0,338492	0,544025	0,249815	0,4775385	0,517889	0,0978585	0,2095065	0,245565	0,3917595	0,3835925	0,4859385	0,241847	0,2533655	0,143014	0,398498	0,0609605	0,236532	0,175892	0,03282	1	0,0978135	0,354151	0,3816005	0,059124	0,2768355	0,0491645	0,05	0,346932	0,03855	0,038881	0,025	0,373435	0,0151735	0,05	0,23593	0,4763185	0,305917	0,4763185	0,2785675	0,03105	0,038403	0,0649255	0,3910385	0,057908	0,126637	0,3932295	0,3040975	0,4805925	0,060127	0,404962	0,0757025	0,343065	0,1714765	0,012195
D00348	0,141033	0,1057655	0,0552265	0,087716	0,0758085	0,96877	0,0526315	0,1641625	0,0959555	0,151791	0,0699475	0,2323225	0,207955	0,13556	0,088962	0,047307	0,2179775	0,0534265	0,2410895	0,0978135	1	0,0845755	0,0826175	0,059892	0,05	0,0511615	0,0779865	0,1054315	0,036191	0,106795	0,0697355	0,075405	0,0224205	0,0639165	0,2301015	0,06834	0,130958	0,06834	0,0572715	0,01547	0,078179	0,0580305	0,082803	0,0762555	0,0478285	0,0977155	0,0912255	0,0881775	0,046323	0,080158	0,034648	0,07409	0,042553	0,1432155
D00443	0,283815	0,5117345	0,210672	0,401785	0,341609	0,0846005	0,18417	0,1745245	0,369144	0,31017	0,4069	0,167475	0,1726435	0,1178745	0,2742345	0,0402645	0,1791845	0,160887	0,029836	0,354151	0,0845755	1	0,34753	0,049674	0,2088	0,044065	0,0212765	0,238142	0,0466045	0,035728	0,023077	0,2362215	0,013715	0,0212765	0,1576445	0,399887	0,3291455	0,399887	0,2810415	0,0284175	0,018838	0,046473	0,649667	0,0610855	0,1246005	0,41926	0,327435	0,2499285	0,064372	0,307672	0,056779	0,2763455	0,1367515	0,0351595
D00462	0,338449	0,42445	0,246	0,371812	0,3370725	0,0826375	0,250195	0,1944265	0,395567	0,373161	0,3703185	0,2140725	0,2226405	0,0893675	0,23666	0,044527	0,2172425	0,175918	0,0342985	0,3816005	0,0826175	0,34753	1	0,029027	0,3000025	0,035836	0,0384615	0,23672	0,026761	0,020083	0,025862	0,1963635	0,0160505	0,0384615	0,2092155	0,3630715	0,2457245	0,3630715	0,209985	0,021523	0,027735	0,0280095	0,315832	0,060684	0,131084	0,302395	0,2870245	0,2661885	0,0622585	0,302075	0,049032	0,3637665	0,183171	0,0128205
D00506	0,023256	0,0650955	0,1583515	0,0661135	0,056632	0,060072	0,09266	0,022222	0,028416	0,023256	0,063563	0,0249325	0,025826	0,0941195	0,0499695	0,1432105	0,0227275	0,127135	0,052212	0,059124	0,059892	0,049674	0,029027	1	0,0868595	0,1156835	0,1323365	0,111396	0,099995	0,2828305	0,1047085	0,106323	0,1856035	0,103099	0,022222	0,0778435	0,0499555	0,0778435	0,176456	0,108435	0,1164715	0,301034	0,0485665	0,1183785	0,05389	0,0579405	0,027011	0,0581715	0,071344	0,0486545	0,0946425	0,0432505	0,0854305	0,030303
D00554	0,1999655	0,2401145	0,78673	0,2880335	0,2766445	0,05	0,8333785	0,1672065	0,2228395	0,2356945	0,5166205	0,152251	0,15882	0,1139065	0,1836725	0,09701	0,151491	0,4628735	0,0662745	0,2768355	0,05	0,2088	0,3000025	0,0868595	1	0,0765805	0,192307	0,2799545	0,105121	0,0841765	0,0820855	0,1974375	0,10344	0,180572	0,1598115	0,4839015	0,1815455	0,4839015	0,3367675	0,0953685	0,0712835	0,113016	0,1899575	0,169985	0,32402	0,204707	0,2993245	0,1424815	0,1123635	0,190772	0,2065085	0,375635	0,4691475	0,0128205
D00565	0,0737385	0,0542795	0,080593	0,0295175	0,084548	0,0511865	0,080638	0,126205	0,0472845	0,0408165	0,0168495	0,0662805	0,0698735	0,1278425	0,0711245	0,6375295	0,0653205	0,0889505	0,142575	0,0491645	0,0511615	0,044065	0,035836	0,1156835	0,0765805	1	0,2694215	0,161278	0,202654	0,174205	0,170371	0,159785	0,21435	0,2565665	0,12876	0,0166085	0,098449	0,0166085	0,119081	0,2539075	0,229236	0,148834	0,060445	0,3123605	0,0724505	0,0505295	0,0616185	0,0784865	0,197111	0,08861	0,224899	0,0106385	0,128915	0,011905
D00577	0,0333335	0,02439	0,1864705	0,0394735	0,047619	0,0725365	0,206395	0,0434785	0,0375	0,0454545	0,025	0,0326085	0,0333335	0,078763	0,054348	0,1979315	0,0326085	0,095918	0,1100485	0,05	0,0779865	0,0212765	0,0384615	0,1323365	0,192307	0,2694215	1	0,144271	0,119625	0,2146615	0,1559195	0,0730195	0,22235	0,573616	0,0434785	0,0375	0,021739	0,0375	0,0898155	0,2105855	0,238993	0,114145	0,0208335	0,23923	0,1219085	0,02439	0,021739	0,028302	0,172758	0,0416665	0,2376315	0,060125	0,108946	0,042857
D00585	0,242513	0,334324	0,2446225	0,335146	0,3329745	0,1055315	0,2309825	0,1832745	0,23231	0,183978	0,352205	0,2033735	0,2246165	0,133874	0,217468	0,1286245	0,204508	0,1995015	0,0803175	0,346932	0,1054315	0,238142	0,23672	0,111396	0,2799545	0,161278	0,144271	1	0,0999355	0,105829	0,1081255	0,2451265	0,1073885	0,119356	0,1716535	0,345503	0,2508205	0,345503	0,29639	0,1020435	0,106916	0,12978	0,2489555	0,146865	0,140789	0,24107	0,2642695	0,2008415	0,1346475	0,232306	0,1408945	0,259548	0,1972835	0,010204
D00586	0,060596	0,0549465	0,111725	0,027826	0,0597605	0,036246	0,111755	0,0437435	0,0538015	0,022222	0,01383	0,0449585	0,055866	0,0401515	0,0593235	0,1399	0,0442235	0,156651	0,077443	0,03855	0,036191	0,0466045	0,026761	0,099995	0,105121	0,202654	0,119625	0,0999355	1	0,0783925	0,0812525	0,11736	0,122121	0,118015	0,0574635	0,013525	0,0596865	0,013525	0,063268	0,3637325	0,1023365	0,6537965	0,0224265	0,137246	0,191065	0,0539615	0,026862	0,05085	0,172635	0,05826	0,11347	0,012195	0,1258295	0,013889
D00596	0,0350875	0,0409765	0,1288025	0,041645	0,0477065	0,12929	0,088367	0,0570815	0,0197935	0,0865905	0,0406605	0,052968	0,0599655	0,107727	0,052739	0,147105	0,051798	0,1259615	0,1222865	0,038881	0,106795	0,035728	0,020083	0,2828305	0,0841765	0,174205	0,2146615	0,105829	0,0783925	1	0,1991665	0,091831	0,154291	0,1773265	0,0390785	0,0399065	0,0358025	0,0399065	0,1239445	0,1615	0,3055595	0,144091	0,0395785	0,15037	0,074811	0,0399065	0,017794	0,0399875	0,1756525	0,0470915	0,1620745	0,0185185	0,1120655	0,1270805
D00627	0,0403225	0,0254235	0,086264	0,0172415	0,0241935	0,0698205	0,086624	0,0390625	0,0254235	0,0985035	0,0083335	0,023077	0,0403225	0,070212	0,046875	0,120191	0,023077	0,076219	0,149617	0,025	0,0697355	0,023077	0,025862	0,1047085	0,0820855	0,170371	0,1559195	0,1081255	0,0812525	0,1991665	1	0,064551	0,1118525	0,1399745	0,0227275	0,0166665	0,0316175	0,0166665	0,1087765	0,132127	0,210407	0,07585	0,0227275	0,1408545	0,0714455	0,0254235	0,0309025	0,028169	0,2727605	0,037879	0,231788	0,0166665	0,093066	0,11323
D00690	0,200345	0,318536	0,190812	0,252517	0,3346425	0,075435	0,16366	0,1519925	0,239951	0,25538	0,2374675	0,1371135	0,153642	0,1500295	0,4740895	0,123108	0,1423795	0,147775	0,06929	0,373435	0,075405	0,2362215	0,1963635	0,106323	0,1974375	0,159785	0,0730195	0,2451265	0,11736	0,091831	0,064551	1	0,134401	0,0659845	0,1521525	0,2340895	0,322433	0,2340895	0,2591465	0,111028	0,0887815	0,11878	0,3015315	0,13874	0,125633	0,236271	0,263855	0,438978	0,1053125	0,460269	0,1051985	0,1722465	0,211986	0,019608
D00730	0,0384615	0,017544	0,110848	0,017091	0,028366	0,0224655	0,110893	0,0460355	0,015739	0,0384615	0,0163855	0,011905	0,0384615	0,0535795	0,0469495	0,33684	0,011905	0,100164	0,1384555	0,0151735	0,0224205	0,013715	0,0160505	0,1856035	0,10344	0,21435	0,22235	0,1073885	0,122121	0,154291	0,1118525	0,134401	1	0,1574395	0,011628	0,0306715	0,0536665	0,0306715	0,1487815	0,1531505	0,1154395	0,12912	0,078075	0,248374	0,1001015	0,015989	0,0538615	0,0647055	0,0822435	0,12182	0,146981	0,0407015	0,142728	0,1203735
D00898	0,0333335	0,02439	0,1738355	0,0394735	0,047619	0,0622215	0,1936	0,0652185	0,0375	0,0454545	0,025	0,0570485	0,0597935	0,074263	0,042553	0,169212	0,0555085	0,092933	0,136485	0,05	0,0639165	0,0212765	0,0384615	0,103099	0,180572	0,2565665	0,573616	0,119356	0,118015	0,1773265	0,1399745	0,0659845	0,1574395	1	0,0644085	0,02439	0,021739	0,02439	0,075282	0,183342	0,237003	0,10755	0,0208335	0,192208	0,1052815	0,02439	0,021739	0,028302	0,144973	0,030612	0,206872	0,043455	0,0929285	0,0135135
D00930	0,3864	0,224842	0,147015	0,2266475	0,2366765	0,2195165	0,1650705	0,670813	0,3346985	0,32857	0,189435	0,626467	0,512519	0,1706415	0,194131	0,139494	0,610747	0,108676	0,1251245	0,23593	0,2301015	0,1576445	0,2092155	0,022222	0,1598115	0,12876	0,0434785	0,1716535	0,0574635	0,0390785	0,0227275	0,1521525	0,011628	0,0644085	1	0,1859415	0,199271	0,1859415	0,149445	0,0267855	0,029412	0,030612	0,165638	0,08635	0,119065	0,18825	0,177246	0,1789305	0,053846	0,18877	0,0508475	0,1841565	0,115496	0,0106385
D00950	0,2970935	0,5065635	0,3528315	0,573664	0,4774725	0,06837	0,30208	0,2015465	0,3450755	0,2974925	0,93748	0,211725	0,224096	0,1050545	0,2769	0,033862	0,204535	0,2343415	0,0224265	0,4763185	0,06834	0,399887	0,3630715	0,0778435	0,4839015	0,0166085	0,0375	0,345503	0,013525	0,0399065	0,0166665	0,2340895	0,0306715	0,02439	0,1859415	1	0,31489	1	0,471491	0,031937	0,0311435	0,0368795	0,3528385	0,0769145	0,1441975	0,3799155	0,448285	0,2543895	0,0426865	0,28318	0,0613375	0,6913155	0,2084715	0,025641
D00951	0,355027	0,47121	0,1721285	0,3399925	0,3474325	0,131153	0,157384	0,196186	0,3741275	0,319737	0,322316	0,2123965	0,2357615	0,2192835	0,308107	0,0886525	0,2055465	0,1532275	0,075033	0,305917	0,130958	0,3291455	0,2457245	0,0499555	0,1815455	0,098449	0,021739	0,2508205	0,0596865	0,0358025	0,0316175	0,322433	0,0536665	0,021739	0,199271	0,31489	1	0,31489	0,2755295	0,059953	0,045801	0,0465135	0,3370245	0,101459	0,114121	0,4055705	0,436553	0,3085025	0,0742755	0,320905	0,0531915	0,225404	0,1753875	0,031626
D00954	0,2970935	0,5065635	0,3528315	0,573664	0,4774725	0,06837	0,30208	0,2015465	0,3450755	0,2974925	0,93748	0,211725	0,224096	0,1050545	0,2769	0,033862	0,204535	0,2343415	0,0224265	0,4763185	0,06834	0,399887	0,3630715	0,0778435	0,4839015	0,0166085	0,0375	0,345503	0,013525	0,0399065	0,0166665	0,2340895	0,0306715	0,02439	0,1859415	1	0,31489	1	0,471491	0,031937	0,0311435	0,0368795	0,3528385	0,0769145	0,1441975	0,3799155	0,448285	0,2543895	0,0426865	0,28318	0,0613375	0,6913155	0,2084715	0,025641
D00956	0,263207	0,406038	0,385764	0,4765975	0,3193735	0,0572965	0,413924	0,187144	0,2629935	0,2544785	0,499981	0,1689595	0,205971	0,1093265	0,2120835	0,1451815	0,1640645	0,279803	0,06653	0,2785675	0,0572715	0,2810415	0,209985	0,176456	0,3367675	0,119081	0,0898155	0,29639	0,063268	0,1239445	0,1087765	0,2591465	0,1487815	0,075282	0,149445	0,471491	0,2755295	0,471491	1	0,0741525	0,11109	0,096549	0,2979645	0,15479	0,2107845	0,298446	0,2925495	0,2182595	0,101774	0,2642855	0,105249	0,314597	0,327862	0,0333335
D00961	0,027778	0,032922	0,0858585	0,0223435	0,0485155	0,015495	0,100121	0,0363635	0,0428365	0,057753	0,03258	0,017857	0,027778	0,05208	0,0606895	0,144355	0,017857	0,1310415	0,0617445	0,03105	0,01547	0,0284175	0,021523	0,108435	0,0953685	0,2539075	0,2105855	0,1020435	0,3637325	0,1615	0,132127	0,111028	0,1531505	0,183342	0,0267855	0,031937	0,059953	0,031937	0,0741525	1	0,187082	0,248525	0,0097655	0,1889465	0,2293835	0,031942	0,018957	0,0425165	0,2619465	0,0421275	0,1933665	0,030612	0,1261015	0,066687
D00962	0,0504865	0,025578	0,0642165	0,0329	0,06034	0,078324	0,0744115	0,0454545	0,0274885	0,1320005	0,023089	0,023549	0,0483415	0,061999	0,059096	0,1448215	0,023459	0,0749635	0,0797415	0,038403	0,078179	0,018838	0,027735	0,1164715	0,0712835	0,229236	0,238993	0,106916	0,1023365	0,3055595	0,220776	0,0887815	0,1154395	0,237003	0,029412	0,0311435	0,045801	0,0311435	0,11109	0,187082	1	0,0934835	0,0226705	0,134311	0,100032	0,021453	0,024661	0,0362815	0,193332	0,048192	0,1916625	0,0381285	0,124575	0,1935
D00965	0,0238085	0,0559355	0,17338	0,052602	0,0465895	0,0581455	0,119727	0,030612	0,027656	0,0241535	0,051165	0,020408	0,0208335	0,1087575	0,0512665	0,122023	0,020408	0,203918	0,0718835	0,0649255	0,0580305	0,046473	0,0280095	0,301034	0,113016	0,148834	0,114145	0,12978	0,6537965	0,144091	0,07585	0,11878	0,12912	0,10755	0,030612	0,0368795	0,0465135	0,0368795	0,096549	0,248525	0,0934835	1	0,0455815	0,130509	0,185374	0,0528955	0,0237585	0,058185	0,0956635	0,0541155	0,09235	0,0113635	0,165066	0,0128205
D01115	0,2543885	0,443616	0,188835	0,3447665	0,332002	0,082833	0,162926	0,176118	0,3146935	0,3297935	0,3580775	0,1769795	0,1820545	0,1431815	0,320828	0,0904105	0,1747745	0,143056	0,0643695	0,3910385	0,082803	0,649667	0,315832	0,0485665	0,1899575	0,060445	0,0208335	0,2489555	0,0224265	0,0395785	0,0227275	0,3015315	0,078075	0,0208335	0,165638	0,3528385	0,3370245	0,3528385	0,2979645	0,0097655	0,0226705	0,0455815	1	0,1124265	0,1071855	0,345146	0,336172	0,3572815	0,054726	0,370915	0,037842	0,254145	0,1645895	0,0349185
D01132	0,0691785	0,0605395	0,147075	0,0625455	0,055693	0,0762705	0,147345	0,10658	0,0593545	0,0652335	0,078319	0,0630705	0,0661285	0,0975385	0,06097	0,3077765	0,0623105	0,125521	0,18414	0,057908	0,0762555	0,0610855	0,060684	0,1183785	0,169985	0,3123605	0,23923	0,146865	0,137246	0,15037	0,1408545	0,13874	0,248374	0,192208	0,08635	0,0769145	0,101459	0,0769145	0,15479	0,1889465	0,134311	0,130509	0,1124265	1	0,1051705	0,0595195	0,1172725	0,0763515	0,2121075	0,12451	0,196189	0,0698345	0,160797	0,043895
D01161	0,175724	0,1580935	0,325502	0,20193	0,150321	0,0479035	0,3795055	0,1724435	0,1505695	0,196844	0,157254	0,1084185	0,1470115	0,085132	0,12426	0,073775	0,1107855	0,24185	0,0532305	0,126637	0,0478285	0,1246005	0,131084	0,05389	0,32402	0,0724505	0,1219085	0,140789	0,191065	0,074811	0,0714455	0,125633	0,1001015	0,1052815	0,119065	0,1441975	0,114121	0,1441975	0,2107845	0,2293835	0,100032	0,185374	0,1071855	0,1051705	1	0,1349335	0,104356	0,1086135	0,1057195	0,1047195	0,166991	0,1347525	0,2968365	0,2069945
